MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2012,ACURA,MDX AWD,SUV,3.7,6,AS6,Z,13.2,9.6,21,29,2320,267
2012,ACURA,RDX AWD TURBO,SUV,2.3,4,AS5,Z,11.7,8.7,24,32,2060,237
2012,ACURA,RL AWD,MID-SIZE,3.7,6,AS6,Z,12.2,8.2,23,34,2080,239
2012,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,10.4,6.8,27,42,1760,202
2012,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,11.4,7.6,25,37,1940,223
2012,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,11.9,8.0,24,35,2040,235
2012,ACURA,TSX,COMPACT,2.4,4,AS5,Z,9.3,6.2,30,46,1580,182
2012,ACURA,TSX,COMPACT,2.4,4,M6,Z,9.9,6.8,29,42,1700,196
2012,ACURA,TSX,COMPACT,3.5,6,AS5,Z,10.7,7.0,26,40,1800,207
2012,ACURA,ZDX AWD,SUV,3.7,6,AS6,Z,12.7,8.8,22,32,2180,251
2012,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,AS6,Z,16.2,10.2,17,28,2700,310
2012,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,M6,Z,18.9,11.7,15,24,3140,361
2012,ASTON MARTIN,DBS,MINICOMPACT,5.9,12,AS6,Z,18.1,11.2,16,25,2980,343
2012,ASTON MARTIN,DBS,MINICOMPACT,5.9,12,M6,Z,19.1,12.1,15,23,3180,366
2012,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,AS6,Z,16.8,10.4,17,27,2780,320
2012,ASTON MARTIN,V12 VANTAGE,TWO-SEATER,5.9,12,M6,Z,19.1,12.1,15,23,3180,366
2012,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM6,Z,15.3,10.1,18,28,2580,297
2012,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,16.3,10.4,17,27,2720,313
2012,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,15.6,9.6,18,29,2580,297
2012,ASTON MARTIN,VIRAGE,MINICOMPACT,5.9,12,AS6,Z,16.9,10.9,17,26,2840,327
2012,AUDI,A3,STATION WAGON - SMALL,2.0,4,AS6,Z,9.4,6.9,30,41,1660,191
2012,AUDI,A3,STATION WAGON - SMALL,2.0,4,M6,Z,10.4,6.7,27,42,1740,200
2012,AUDI,A3 QUATTRO,STATION WAGON - SMALL,2.0,4,AS6,Z,9.6,7.5,29,38,1720,198
2012,AUDI,A3 TDI CLEAN DIESEL,STATION WAGON - SMALL,2.0,4,AS6,D,6.7,4.7,42,60,1160,157
2012,AUDI,A4,COMPACT,2.0,4,AV,Z,8.9,6.5,32,43,1560,179
2012,AUDI,A4 AVANT,STATION WAGON - SMALL,2.0,4,AS8,Z,10.0,7.0,28,40,1740,200
2012,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,10.0,7.0,28,40,1740,200
2012,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,9.5,6.5,30,43,1620,186
2012,AUDI,A5 CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.0,7.0,28,40,1740,200
2012,AUDI,A5 COUPE,SUBCOMPACT,2.0,4,AS8,Z,10.0,7.0,28,40,1740,200
2012,AUDI,A5 COUPE,SUBCOMPACT,2.0,4,M6,Z,9.5,6.5,30,43,1620,186
2012,AUDI,A6,MID-SIZE,3.0,6,AS8,Z,11.3,7.4,25,38,1900,218
2012,AUDI,A7,MID-SIZE,3.0,6,AS8,Z,11.4,7.4,25,38,1920,221
2012,AUDI,A8,MID-SIZE,4.2,8,AS8,Z,12.0,7.9,24,36,2040,235
