MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2001,ACURA,1.7EL,COMPACT,1.7,4,A4,X,8.0,6.0,35,47,1420,163
2001,ACURA,1.7EL,COMPACT,1.7,4,M5,X,7.7,6.2,37,46,1400,161
2001,ACURA,3.2CL,COMPACT,3.2,6,AS5,Z,12.2,7.4,23,38,2000,230
2001,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,12.3,7.4,23,38,2020,232
2001,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,13.4,9.2,21,31,2300,264
2001,ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,10.0,7.1,28,40,1740,200
2001,ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,9.3,7.0,30,40,1660,191
2001,ACURA,INTEGRA GS-R,SUBCOMPACT,1.8,4,M5,Z,9.4,7.1,30,40,1680,193
2001,ACURA,MDX,SUV,3.5,6,A5,Z,13.9,9.4,20,30,2380,274
2001,ACURA,NSX,TWO-SEATER,3.0,6,AS4,Z,13.7,9.2,21,31,2340,269
2001,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,14.0,9.1,20,31,2360,271
2001,AUDI,A4,COMPACT,1.8,4,A5,Z,11.7,7.6,24,37,1980,228
2001,AUDI,A4,COMPACT,1.8,4,M5,Z,10.4,6.8,27,42,1760,202
2001,AUDI,A4,COMPACT,2.8,6,A5,Z,13.0,8.2,22,34,2160,248
2001,AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,11.8,7.9,24,36,2000,230
2001,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,10.8,7.2,26,39,1840,212
2001,AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,13.3,8.5,21,33,2220,255
2001,AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,12.7,8.7,22,32,2180,251
2001,AUDI,A6,MID-SIZE,2.8,6,A5,Z,13.4,8.6,21,33,2240,258
2001,AUDI,A6 AVANT QUATTRO WAGON,STATION WAGON - MID-SIZE,2.8,6,A5,Z,13.8,9.1,20,31,2340,269
2001,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,13.6,8.9,21,32,2300,264
2001,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,13.6,9.1,21,31,2320,267
2001,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,13.8,9.1,20,31,2340,269
