MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2000,ACURA,1.6EL,COMPACT,1.6,4,A4,X,9.2,6.7,31,42,1620,186
2000,ACURA,1.6EL,COMPACT,1.6,4,M5,X,8.5,6.5,33,43,1520,175
2000,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,12.2,7.4,23,38,2000,230
2000,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,13.4,9.2,21,31,2300,264
2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,10,7,28,40,1720,198
2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,9.3,6.8,30,42,1640,189
2000,ACURA,INTEGRA GSR/TYPE R,SUBCOMPACT,1.8,4,M5,Z,9.4,7,30,40,1660,191
2000,ACURA,NSX,SUBCOMPACT,3,6,AS4,Z,13.6,9.2,21,31,2320,267
2000,ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,13.8,9.1,20,31,2340,269
2000,AUDI,A4,COMPACT,1.8,4,A5,Z,11.4,7.2,25,39,1900,218
2000,AUDI,A4,COMPACT,1.8,4,M5,Z,9.7,6.8,29,42,1680,193
2000,AUDI,A4,COMPACT,2.8,6,A5,Z,13,8.2,22,34,2160,248
2000,AUDI,A4,COMPACT,2.8,6,M5,Z,11.7,7.5,24,38,1960,225
2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,12.1,7.7,23,37,2020,232
2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,10.7,7.5,26,38,1860,214
2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,13.3,8.5,21,33,2220,255
2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,12.7,8.7,22,32,2180,251
2000,AUDI,A6,MID-SIZE,2.8,6,A5,Z,13.4,8.6,21,33,2240,258
2000,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,2.8,6,A5,Z,13.8,9.1,20,31,2340,269
2000,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,13.6,9,21,31,2300,264
2000,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,13.6,9.1,21,31,2320,267
2000,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,13.8,9.1,20,31,2340,269
2000,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,M5,Z,13,9.2,22,31,2260,260
2000,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,A5,Z,13.9,9.1,20,31,2340,269
2000,AUDI,A8 QUATTRO,MID-SIZE,4.2,8,A5,Z,13.9,9.1,20,31,2340,269
2000,AUDI,S4 QUATTRO,COMPACT,2.7,6,A5,Z,13.6,9,21,31,2300,264
2000,AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,13.6,9.1,21,31,2320,267
2000,AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M5,Z,11.6,7.6,24,37,1960,225
2000,AUDI,TT COUPE QUATTRO (SUPERCHARGED),MINICOMPACT,1.8,4,M6,Z,11.6,7.7,24,37,1960,225
2000,AUDI,TT ROADSTER,TWO-SEATER,1.8,4,M5,Z,10.9,7.3,26,39,1860,214
2000,AUDI,TT ROADSTER QUATTRO (SUPERCHARGED),TWO-SEATER,1.8,4,M6,Z,11.6,7.7,24,37,1960,225
2000,BMW,323 CONVERTIBLE,COMPACT,2.5,6,A5,Z,13,8.9,22,32,2240,258
2000,BMW,323 CONVERTIBLE,COMPACT,2.5,6,M5,Z,12.4,8.6,23,33,2140,246
2000,BMW,323Ci,COMPACT,2.5,6,A5,Z,12.3,7.8,23,36,2060,237
2000,BMW,323Ci,COMPACT,2.5,6,M5,Z,11.5,7.5,25,38,1940,223
2000,BMW,323i,COMPACT,2.5,6,A5,Z,12.3,7.8,23,36,2060,237
2000,BMW,323i,COMPACT,2.5,6,M5,Z,11.5,7.5,25,38,1940,223
2000,BMW,328Ci,COMPACT,2.8,6,A5,Z,12.4,7.9,23,36,2080,239
2000,BMW,328Ci,COMPACT,2.8,6,M5,Z,11.5,7.5,25,38,1940,223
2000,BMW,328i,COMPACT,2.8,6,A5,Z,12.4,7.9,23,36,2080,239
2000,BMW,328i,COMPACT,2.8,6,M5,Z,11.5,7.5,25,38,1940,223
2000,BMW,528i,COMPACT,2.8,6,A4,Z,13,8.4,22,34,2180,251
2000,BMW,528i,COMPACT,2.8,6,M5,Z,11.5,7.5,25,38,1940,223
2000,BMW,528i TOURING,STATION WAGON - SMALL,2.8,6,A4,Z,13,8.4,22,34,2180,251
2000,BMW,528i TOURING,STATION WAGON - SMALL,2.8,6,M5,Z,12.9,8.3,22,34,2160,248
2000,BMW,540i,COMPACT,4.4,8,A5,Z,13.1,8.8,22,32,2240,258
2000,BMW,540i,COMPACT,4.4,8,M6,Z,14.7,9.1,19,31,2440,281
2000,BMW,540i TOURING,STATION WAGON - SMALL,4.4,8,A5,Z,13.9,10.1,20,28,2440,281
2000,BMW,740i,MID-SIZE,4.4,8,A5,Z,13.8,9.2,20,31,2340,269
2000,BMW,740iL,FULL-SIZE,4.4,8,A5,Z,13.8,9.2,20,31,2340,269
2000,BMW,750iL,FULL-SIZE,5.4,12,A5,Z,17.3,10.8,16,26,2880,331
2000,BMW,M COUPE,TWO-SEATER,3.2,6,M5,Z,12.4,8.5,23,33,2120,244
2000,BMW,M ROADSTER,MINICOMPACT,3.2,6,M5,Z,12.4,8.5,23,33,2120,244
