MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2010,ACURA,CSX,COMPACT,2.0,4,AS5,X,9.5,6.5,30,43,1620,186
2010,ACURA,CSX,COMPACT,2.0,4,M5,X,8.7,6.4,32,44,1540,177
2010,ACURA,CSX,COMPACT,2.0,4,M6,Z,10.2,6.8,28,42,1740,200
2010,ACURA,MDX AWD,SUV,3.7,6,AS6,Z,13.2,9.6,21,29,2320,267
2010,ACURA,RDX AWD TURBO,SUV,2.3,4,AS5,Z,11.7,8.7,24,32,2060,237
2010,ACURA,RL AWD,MID-SIZE,3.7,6,AS5,Z,13.1,9.0,22,31,2240,258
2010,ACURA,TL,MID-SIZE,3.5,6,AS5,Z,11.6,7.5,24,38,1940,223
2010,ACURA,TL AWD,MID-SIZE,3.7,6,AS5,Z,12.3,8.1,23,35,2080,239
2010,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,11.9,8.0,24,35,2040,235
2010,ACURA,TSX,COMPACT,2.4,4,AS5,Z,9.6,6.5,29,43,1640,189
2010,ACURA,TSX,COMPACT,2.4,4,M6,Z,10.5,7.0,27,40,1780,205
2010,ACURA,TSX,COMPACT,3.5,6,AS5,Z,11.3,7.4,25,38,1900,218
2010,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,AS6,Z,16.2,10.1,17,28,2700,310
2010,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,M6,Z,18.9,11.7,15,24,3140,361
2010,ASTON MARTIN,DBS,MINICOMPACT,5.9,12,AS6,Z,18.1,11.2,16,25,2980,343
2010,ASTON MARTIN,DBS,MINICOMPACT,5.9,12,M6,Z,19.1,12.1,15,23,3180,366
2010,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM6,Z,15.4,9.9,18,29,2580,297
2010,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,17.4,10.8,16,26,2880,331
2010,AUDI,A3,STATION WAGON - SMALL,2.0,4,AS6,Z,9.4,6.9,30,41,1660,191
2010,AUDI,A3,STATION WAGON - SMALL,2.0,4,M6,Z,10.4,6.7,27,42,1740,200
2010,AUDI,A3 QUATTRO,STATION WAGON - SMALL,2.0,4,AS6,Z,9.6,7.5,29,38,1720,198
2010,AUDI,A3 TDI,STATION WAGON - SMALL,2.0,4,AS6,D,6.7,4.6,42,61,1160,157
2010,AUDI,A4,COMPACT,2.0,4,AV,Z,8.9,6.5,32,43,1560,179
2010,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2.0,4,AS6,Z,10.1,7.3,28,39,1780,205
2010,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS6,Z,10.1,7.3,28,39,1780,205
2010,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,9.4,6.5,30,43,1620,186
2010,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS6,Z,10.1,7.5,28,38,1780,205
2010,AUDI,A5 COUPE,SUBCOMPACT,2.0,4,AS6,Z,10.1,7.3,28,39,1780,205
2010,AUDI,A5 COUPE,SUBCOMPACT,2.0,4,M6,Z,9.4,6.5,30,43,1620,186
2010,AUDI,A5 COUPE,SUBCOMPACT,3.2,6,AS6,Z,11.6,7.6,24,37,1960,225
2010,AUDI,A6,MID-SIZE,3.2,6,AV,Z,11.4,7.1,25,40,1900,218
2010,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.0,6,AS6,Z,12.0,8.0,24,35,2040,235
2010,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS6,Z,12.0,8.0,24,35,2040,235
2010,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS6,Z,13.1,8.7,22,32,2220,255
2010,AUDI,A8,MID-SIZE,4.2,8,AS6,Z,13.1,8.7,22,32,2220,255
2010,AUDI,A8 L,FULL-SIZE,4.2,8,AS6,Z,13.1,8.7,22,32,2220,255
2010,AUDI,Q5,SUV,3.2,6,AS6,Z,11.5,9.0,25,31,2080,239
2010,AUDI,Q7,SUV,3.6,6,AS6,Z,14.8,10.4,19,27,2560,294
2010,AUDI,Q7,SUV,4.2,8,AS6,Z,16.1,11.2,18,25,2780,320
2010,AUDI,Q7 TDI,SUV,3.0,6,AS6,D,13.2,8.3,21,34,2200,297
2010,AUDI,R8,TWO-SEATER,4.2,8,AS6,Z,17.0,11.0,17,26,2860,329
2010,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,17.1,10.3,17,27,2800,322
2010,AUDI,R8,TWO-SEATER,5.2,10,AS6,Z,16.5,11.2,17,25,2820,324
