MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2003,ACURA,1.7EL,COMPACT,1.7,4,A4,X,8.2,6.0,34,47,1440,166
2003,ACURA,1.7EL,COMPACT,1.7,4,M5,X,7.8,6.1,36,46,1400,161
2003,ACURA,3.2CL,COMPACT,3.2,6,AS5,Z,12.0,7.4,24,38,1980,228
2003,ACURA,3.2CL,COMPACT,3.2,6,M6,Z,12.3,7.7,23,37,2040,235
2003,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,12.0,7.4,24,38,1980,228
2003,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,13.2,9.1,21,31,2280,262
2003,ACURA,MDX,SUV,3.5,6,A5,Z,14.1,9.4,20,30,2400,276
2003,ACURA,NSX,SUBCOMPACT,3.0,6,AS4,Z,13.7,9.2,21,31,2340,269
2003,ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,14.0,9.1,20,31,2360,271
2003,ACURA,RSX,SUBCOMPACT,2.0,4,AS5,X,9.6,6.5,29,43,1640,189
2003,ACURA,RSX,SUBCOMPACT,2.0,4,M5,X,8.7,6.5,32,43,1540,177
2003,ACURA,RSX,SUBCOMPACT,2.0,4,M6,Z,9.7,6.9,29,41,1680,193
2003,AUDI,A4,COMPACT,1.8,4,AV,Z,10.2,7.3,28,39,1780,205
2003,AUDI,A4,COMPACT,3.0,6,AV,Z,11.7,7.7,24,37,1980,228
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,1.8,4,AS5,Z,11.6,7.6,24,37,1960,225
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,1.8,4,M5,Z,11.3,7.5,25,38,1920,221
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.0,6,AS5,Z,12.8,8.4,22,34,2160,248
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.0,6,M6,Z,13.4,8.7,21,32,2260,260
2003,AUDI,A4 AVANT WAGON,STATION WAGON - SMALL,1.8,4,AV,Z,10.2,7.3,28,39,1780,205
2003,AUDI,A4 CABRIOLET,COMPACT,1.8,4,AV,Z,10.2,7.2,28,39,1760,202
2003,AUDI,A4 CABRIOLET,COMPACT,3.0,6,AV,Z,11.5,8.1,25,35,2000,230
2003,AUDI,A4 QUATTRO,COMPACT,1.8,4,AS5,Z,11.6,7.6,24,37,1960,225
2003,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,11.3,7.5,25,38,1920,221
2003,AUDI,A4 QUATTRO,COMPACT,3.0,6,AS5,Z,12.8,8.4,22,34,2160,248
2003,AUDI,A4 QUATTRO,COMPACT,3.0,6,M6,Z,13.4,8.7,21,32,2260,260
2003,AUDI,A6,MID-SIZE,3.0,6,AV,Z,11.5,8.1,25,35,2000,230
2003,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.0,6,AS5,Z,12.8,8.4,22,34,2160,248
2003,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,AS5,Z,13.1,8.6,22,33,2220,255
2003,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,13.1,8.5,22,33,2200,253
2003,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS5,Z,12.8,8.4,22,34,2160,248
2003,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS5,Z,13.8,8.7,20,32,2300,264
2003,AUDI,A8,MID-SIZE,4.2,8,AS5,Z,13.8,8.7,20,32,2300,264
2003,AUDI,A8L,FULL-SIZE,4.2,8,AS5,Z,13.7,8.8,21,32,2300,264
2003,AUDI,ALLROAD QUATTRO,SUV,2.7,6,AS5,Z,14.3,9.8,20,29,2460,283
2003,AUDI,ALLROAD QUATTRO,SUV,2.7,6,M6,Z,14.8,9.4,19,30,2480,285
2003,AUDI,S6 AVANT,STATION WAGON - MID-SIZE,4.2,8,AS5,Z,16.0,10.3,18,27,2680,308
2003,AUDI,S8,MID-SIZE,4.2,8,AS5,Z,15.0,10.2,19,28,2560,294
2003,AUDI,TT COUPE,MINICOMPACT,1.8,4,AS6,Z,11.4,7.4,25,38,1920,221
2003,AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M6,Z,11.8,7.6,24,37,1980,228
2003,AUDI,TT ROADSTER,TWO-SEATER,1.8,4,AS6,Z,11.9,7.6,24,37,2000,230
