MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2007,ACURA,CSX,COMPACT,2,4,AS5,X,9.5,6.5,30,43,1620,186
2007,ACURA,CSX,COMPACT,2,4,M5,X,8.7,6.4,32,44,1540,177
2007,ACURA,CSX,COMPACT,2,4,M6,Z,10.2,6.8,28,42,1740,200
2007,ACURA,MDX AWD,SUV,3.7,6,AS5,Z,13.8,10,20,28,2420,278
2007,ACURA,RDX AWD TURBO,SUV,2.3,4,AS5,Z,12.5,9.3,23,30,2200,253
2007,ACURA,RL AWD,MID-SIZE,3.5,6,AS5,Z,12.9,8.4,22,34,2160,248
2007,ACURA,TL,MID-SIZE,3.2,6,AS5,Z,11.6,7.5,24,38,1960,225
2007,ACURA,TL,MID-SIZE,3.5,6,AS5,Z,12.3,7.8,23,36,2060,237
2007,ACURA,TL,MID-SIZE,3.5,6,M6,Z,11.6,7.3,24,39,1940,223
2007,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.5,7,27,40,1780,205
2007,ACURA,TSX,COMPACT,2.4,4,M6,Z,10.8,7.2,26,39,1840,212
2007,ASTON MARTIN,DB9 COUPE,MINICOMPACT,5.9,12,AS6,Z,19.2,11.3,15,25,3120,359
2007,ASTON MARTIN,DB9 COUPE,MINICOMPACT,5.9,12,M6,Z,20.9,12.3,14,23,3400,391
2007,ASTON MARTIN,DB9 VOLANTE,MINICOMPACT,5.9,12,AS6,Z,18.8,11.8,15,24,3140,361
2007,ASTON MARTIN,DB9 VOLANTE,MINICOMPACT,5.9,12,M6,Z,20.9,12.3,14,23,3400,391
2007,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.3,8,AM6,Z,16.1,10.1,18,28,2680,308
2007,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.3,8,M6,Z,17.2,10.8,16,26,2860,329
2007,AUDI,A3,STATION WAGON - SMALL,2,4,AS6,Z,9.3,6.9,30,41,1640,189
2007,AUDI,A3,STATION WAGON - SMALL,2,4,M6,Z,10.1,6.8,28,42,1720,198
2007,AUDI,A3 QUATTRO,STATION WAGON - SMALL,3.2,6,AS6,Z,11.3,8,25,35,1960,225
2007,AUDI,A4,COMPACT,2,4,AV,Z,9.8,6.7,29,42,1680,193
2007,AUDI,A4,COMPACT,2,4,M6,Z,10.2,6.3,28,45,1700,196
2007,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2,4,AS6,Z,10.8,7.2,26,39,1840,212
2007,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2,4,M6,Z,10.6,7,27,40,1800,207
2007,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,AS6,Z,12.1,8,23,35,2060,237
2007,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,M6,Z,13.6,8.1,21,35,2220,255
2007,AUDI,A4 CABRIOLET,SUBCOMPACT,2,4,AV,Z,9.8,6.7,29,42,1680,193
2007,AUDI,A4 CABRIOLET,COMPACT,3.1,6,AS6,Z,12.5,8.1,23,35,2100,242
2007,AUDI,A4 QUATTRO,COMPACT,2,4,AS6,Z,10.8,7.2,26,39,1840,212
2007,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,10.6,7,27,40,1800,207
2007,AUDI,A4 QUATTRO,COMPACT,3.1,6,AS6,Z,12.1,8,23,35,2060,237
2007,AUDI,A4 QUATTRO,COMPACT,3.1,6,M6,Z,13.6,8.1,21,35,2220,255
2007,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.1,6,AS6,Z,12.5,8.1,23,35,2100,242
2007,AUDI,A6 QUATTRO,MID-SIZE,3.1,6,AS6,Z,12.1,8,23,35,2060,237
2007,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS6,Z,13.1,8.8,22,32,2240,258
2007,AUDI,A8,MID-SIZE,4.2,8,AS6,Z,13.1,8.8,22,32,2240,258
2007,AUDI,A8 L,FULL-SIZE,4.2,8,AS6,Z,13.1,8.8,22,32,2240,258
2007,AUDI,A8 L,FULL-SIZE,6,12,AS6,Z,16.4,10.4,17,27,2740,315
2007,AUDI,Q7,SUV,3.6,6,AS6,Z,15.1,11,19,26,2650,305
2007,AUDI,Q7,SUV,4.2,8,AS6,Z,17.2,11.5,16,25,2930,337
2007,AUDI,RS4,COMPACT,4.2,8,M6,Z,16.8,10.1,17,28,2760,317
2007,AUDI,S4,COMPACT,4.2,8,AS6,Z,15.4,9.5,18,30,2540,292
2007,AUDI,S4,COMPACT,4.2,8,M6,Z,16,10.2,18,28,2680,308
2007,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8,AS6,Z,15.5,9.5,18,30,2560,294
2007,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8,M6,Z,16,10.2,18,28,2680,308
2007,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,AS6,Z,15.5,9.5,18,30,2560,294
2007,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,M6,Z,16.2,10.3,17,27,2720,313
2007,AUDI,S6,MID-SIZE,5.2,10,AS6,Z,15.2,10.4,19,27,2600,299
2007,AUDI,S8,FULL-SIZE,5.2,10,AS6,Z,15.9,10.3,18,27,2680,308
2007,BENTLEY,ARNAGE,MID-SIZE,6.7,8,AS6,Z,22.3,13.5,13,21,3660,421
2007,BENTLEY,AZURE,MID-SIZE,6.7,8,AS6,Z,22.3,13.5,13,21,3660,421
2007,BENTLEY,CONTINENTAL FLYING SPUR,MID-SIZE,6,12,AS6,Z,20.9,11.9,14,24,3360,386
2007,BENTLEY,CONTINENTAL GT,COMPACT,6,12,AS6,Z,20.4,11.6,14,24,3300,380
2007,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,AS6,Z,20.9,11.9,14,24,3360,386
2007,BMW,323i,COMPACT,2.5,6,A6,Z,11.2,6.7,25,42,1840,212
2007,BMW,323i,COMPACT,2.5,6,M6,Z,11.1,6.9,25,41,1840,212
2007,BMW,328i,COMPACT,3,6,A6,Z,11.3,7.1,25,40,1880,216
2007,BMW,328i,COMPACT,3,6,M6,Z,11.7,7.2,24,39,1930,222
2007,BMW,328i CABRIOLET,SUBCOMPACT,3,6,A6,Z,11.5,7.3,25,39,1980,228
2007,BMW,328i CABRIOLET,SUBCOMPACT,3,6,M6,Z,11.7,7.7,24,37,1980,228
2007,BMW,328i COUPE,SUBCOMPACT,3,6,A6,Z,11.3,7.1,25,40,1860,214
2007,BMW,328i COUPE,SUBCOMPACT,3,6,M6,Z,11.7,7.2,24,39,1930,222
2007,BMW,328xi,COMPACT,3,6,A6,Z,11.7,7.9,24,36,2000,230
2007,BMW,328xi,COMPACT,3,6,M6,Z,12.2,7.7,23,37,2030,233
2007,BMW,328xi COUPE,SUBCOMPACT,3,6,A6,Z,11.7,7.9,24,36,2000,230
2007,BMW,328xi COUPE,SUBCOMPACT,3,6,M6,Z,12.2,7.7,23,37,2030,233
2007,BMW,328xi TOURING,STATION WAGON - SMALL,3,6,A6,Z,11.7,7.9,24,36,2000,230
2007,BMW,328xi TOURING,STATION WAGON - SMALL,3,6,M6,Z,12.2,7.7,23,37,2030,233
2007,BMW,335i,COMPACT,3,6,A6,Z,12.2,7.8,23,36,2040,235
2007,BMW,335i,COMPACT,3,6,M6,Z,12.5,7.6,23,37,2060,237
2007,BMW,335i CABRIOLET,SUBCOMPACT,3,6,A6,Z,12.2,7.8,23,36,2040,235
2007,BMW,335i CABRIOLET,SUBCOMPACT,3,6,M6,Z,12.5,7.6,23,37,2060,237
2007,BMW,335i COUPE,SUBCOMPACT,3,6,A6,Z,12.2,7.8,23,36,2040,235
2007,BMW,335i COUPE,SUBCOMPACT,3,6,M6,Z,12.5,7.6,23,37,2060,237
2007,BMW,335xi,COMPACT,3,6,A6,Z,12.2,8,23,35,2060,237
2007,BMW,335xi,COMPACT,3,6,M6,Z,12.5,7.9,23,36,2080,239
2007,BMW,525i,MID-SIZE,3,6,A6,Z,11.3,7.1,25,40,1860,214
2007,BMW,525i,MID-SIZE,3,6,M6,Z,11.7,7.2,24,39,1930,222
2007,BMW,525xi,MID-SIZE,3,6,A6,Z,11.7,7.9,24,36,2000,230
2007,BMW,525xi,MID-SIZE,3,6,M6,Z,12.2,7.7,23,37,2030,233
2007,BMW,530i,MID-SIZE,3,6,A6,Z,11.3,7.1,25,40,1860,214
2007,BMW,530i,MID-SIZE,3,6,M6,Z,11.7,7.2,24,39,1930,222
2007,BMW,530xi,MID-SIZE,3,6,A6,Z,11.7,7.9,24,36,2000,230
2007,BMW,530xi,MID-SIZE,3,6,M6,Z,12.2,7.7,23,37,2030,233
2007,BMW,530xi TOURING,STATION WAGON - MID-SIZE,3,6,A6,Z,11.7,7.9,24,36,2000,230
2007,BMW,530xi TOURING,STATION WAGON - MID-SIZE,3,6,M6,Z,12.2,7.7,23,37,2030,233
2007,BMW,550i,MID-SIZE,4.8,8,A6,Z,13.2,8.3,21,34,2200,253
2007,BMW,550i,MID-SIZE,4.8,8,M6,Z,14.8,9.3,19,30,2460,283
2007,BMW,650i CABRIOLET,SUBCOMPACT,4.8,8,A6,Z,13.8,8.7,20,32,2300,264
2007,BMW,650i CABRIOLET,SUBCOMPACT,4.8,8,M6,Z,16.2,10,17,28,2680,308
2007,BMW,650i COUPE,SUBCOMPACT,4.8,8,A6,Z,13.2,8.3,21,34,2200,253
2007,BMW,650i COUPE,SUBCOMPACT,4.8,8,M6,Z,14.8,9.3,19,30,2460,283
2007,BMW,750i,FULL-SIZE,4.8,8,A6,Z,13.8,8.7,20,32,2300,264
2007,BMW,750Li,FULL-SIZE,4.8,8,A6,Z,13.8,8.7,20,32,2300,264
2007,BMW,760Li,FULL-SIZE,6,12,A6,Z,15.9,9.6,18,29,2620,301
2007,BMW,ALPINA B7,FULL-SIZE,4.4,8,A6,Z,15.4,9.3,18,30,2530,291
2007,BMW,M COUPE,TWO-SEATER,3.2,6,M6,Z,14.5,9,19,31,2400,276
2007,BMW,M ROADSTER,TWO-SEATER,3.2,6,M6,Z,14.5,9,19,31,2400,276
2007,BMW,M5,MID-SIZE,5,10,AM7,Z,18.4,11,15,26,3020,347
2007,BMW,M5,MID-SIZE,5,10,M6,Z,19.9,11.9,14,24,3260,375
2007,BMW,M6 CABRIOLET,SUBCOMPACT,5,10,AM7,Z,18,10.8,16,26,2950,339
2007,BMW,M6 CABRIOLET,SUBCOMPACT,5,10,M6,Z,20.3,11.7,14,24,3280,377
2007,BMW,M6 COUPE,SUBCOMPACT,5,10,AM7,Z,18.4,11,15,26,3020,347
2007,BMW,M6 COUPE,SUBCOMPACT,5,10,M6,Z,19.9,11.9,14,24,3260,375
2007,BMW,X3 3.0i,SUV,3,6,A6,Z,12.2,8.4,23,34,2100,242
2007,BMW,X3 3.0i,SUV,3,6,M6,Z,12.5,8.2,23,34,2120,244
2007,BMW,X3 3.0si,SUV,3,6,A6,Z,12.2,8.4,23,34,2100,242
2007,BMW,X3 3.0si,SUV,3,6,M6,Z,12.5,8.2,23,34,2120,244
2007,BMW,X5 3.0si,SUV,3,6,A6,Z,13.6,9.3,21,30,2340,269
2007,BMW,X5 4.8i,SUV,4.8,8,A6,Z,15.9,10.2,18,28,2660,306
2007,BMW,Z4 3.0i,TWO-SEATER,3,6,A6,Z,11.3,7.1,25,40,1880,216
2007,BMW,Z4 3.0i,TWO-SEATER,3,6,M6,Z,11.7,7.2,24,39,1930,222
2007,BMW,Z4 3.0si,TWO-SEATER,3,6,A6,Z,11.3,7.1,25,40,1880,216
2007,BMW,Z4 3.0si,TWO-SEATER,3,6,M6,Z,11.7,7.2,24,39,1930,222
2007,BUICK,ALLURE,MID-SIZE,3.6,6,A4,X,12.4,8,23,35,2080,239
2007,BUICK,ALLURE,MID-SIZE,3.8,6,A4,X,12.2,7.4,23,38,2000,230
2007,BUICK,LUCERNE,FULL-SIZE,3.8,6,A4,X,12.2,7.4,23,38,2000,230
2007,BUICK,LUCERNE,FULL-SIZE,4.6,8,A4,Z,13.8,8.8,20,32,2300,264
2007,BUICK,RAINIER AWD,SUV,4.2,6,A4,X,15.3,10.1,18,28,2580,297
2007,BUICK,RAINIER AWD,SUV,5.3,8,A4,X,15.4,10.2,18,28,2600,299
2007,BUICK,RENDEZVOUS,SUV,3.5,6,A4,X,12.6,8.5,22,33,2140,246
2007,BUICK,TERRAZA,MINIVAN,3.9,6,A4,X,13.1,8.5,22,33,2200,253
2007,BUICK,TERRAZA FFV,MINIVAN,3.9,6,A4,X,13.2,8.5,21,33,2220,255
2007,BUICK,TERRAZA FFV,MINIVAN,3.9,6,A4,E,17.8,11.5,16,25,2980,238
