MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2005,ACURA,1.7EL,COMPACT,1.7,4,A4,X,7.9,6.0,36,47,1420,163
2005,ACURA,1.7EL,COMPACT,1.7,4,M5,X,7.8,6.1,36,46,1400,161
2005,ACURA,MDX AWD,SUV,3.5,6,A5,Z,14.2,9.4,20,30,2420,278
2005,ACURA,NSX,TWO-SEATER,3.0,6,AS4,Z,13.5,8.9,21,32,2280,262
2005,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,13.5,8.9,21,32,2300,264
2005,ACURA,RL,MID-SIZE,3.5,6,AS5,Z,12.9,8.4,22,34,2160,248
2005,ACURA,RSX,SUBCOMPACT,2.0,4,AS5,X,9.3,6.4,30,44,1600,184
2005,ACURA,RSX,SUBCOMPACT,2.0,4,M5,X,8.6,6.4,33,44,1520,175
2005,ACURA,RSX,SUBCOMPACT,2.0,4,M6,Z,10.4,7.0,27,40,1760,202
2005,ACURA,TL,MID-SIZE,3.2,6,AS5,Z,11.8,7.5,24,38,1980,228
2005,ACURA,TL,MID-SIZE,3.2,6,M6,Z,11.8,7.5,24,38,1960,225
2005,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.1,27,40,1800,207
2005,ACURA,TSX,COMPACT,2.4,4,M6,Z,11.0,7.3,26,39,1860,214
2005,AUDI,ALLROAD QUATTRO,SUV,2.7,6,AS5,Z,14.3,9.8,20,29,2460,283
2005,AUDI,ALLROAD QUATTRO,SUV,2.7,6,M6,Z,14.8,9.4,19,30,2480,285
2005,AUDI,A4,COMPACT,1.8,4,AV,Z,10.4,7.3,27,39,1800,207
2005,AUDI,A4 AVANT,STATION WAGON - SMALL,1.8,4,AV,Z,10.2,7.2,28,39,1780,205
2005,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,1.8,4,AS5,Z,11.7,7.6,24,37,1960,225
2005,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,1.8,4,M6,Z,11.1,7.1,25,40,1860,214
2005,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.0,6,AS5,Z,12.9,8.4,22,34,2160,248
2005,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.0,6,M6,Z,12.9,8.3,22,34,2160,248
2005,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,AS6,Z,12.6,8.2,22,34,2120,244
2005,AUDI,A4 CABRIOLET,SUBCOMPACT,1.8,4,AV,Z,10.2,7.2,28,39,1780,205
