MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2006,ACURA,CSX,COMPACT,2,4,AS5,X,9.5,6.5,30,43,1620,186
2006,ACURA,CSX,COMPACT,2,4,M5,X,8.7,6.4,32,44,1540,177
2006,ACURA,MDX 4X4,SUV,3.5,6,A5,Z,14.2,9.4,20,30,2420,278
2006,ACURA,RL,MID-SIZE,3.5,6,AS5,Z,12.9,8.4,22,34,2160,248
2006,ACURA,RSX,SUBCOMPACT,2,4,AS5,X,9.3,6.4,30,44,1600,184
2006,ACURA,RSX,SUBCOMPACT,2,4,M5,X,8.6,6.4,33,44,1520,175
2006,ACURA,RSX,SUBCOMPACT,2,4,M6,Z,10.4,7,27,40,1760,202
2006,ACURA,TL,MID-SIZE,3.2,6,AS5,Z,11.8,7.5,24,38,1980,228
2006,ACURA,TL,MID-SIZE,3.2,6,M6,Z,11.8,7.5,24,38,1960,225
2006,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.5,7,27,40,1780,205
2006,ACURA,TSX,COMPACT,2.4,4,M6,Z,10.8,7.2,26,39,1840,212
2006,AUDI,A3,STATION WAGON - SMALL,2,4,AS6,Z,9.4,6.9,30,41,1660,191
2006,AUDI,A3,STATION WAGON - SMALL,2,4,M6,Z,10,6.9,28,41,1720,198
2006,AUDI,A4,COMPACT,2,4,AV,Z,9.8,6.7,29,42,1680,193
2006,AUDI,A4,COMPACT,2,4,M6,Z,10.1,6.2,28,46,1680,193
2006,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2,4,AS6,Z,10.8,7.2,26,39,1840,212
2006,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2,4,M6,Z,10.6,7,27,40,1800,207
2006,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,AS6,Z,12.3,8.1,23,35,2080,239
2006,AUDI,A4 CABRIOLET QUATTRO,SUBCOMPACT,3,6,AS5,Z,13.2,8.6,21,33,2220,255
2006,AUDI,A4 QUATTRO,COMPACT,2,4,AS6,Z,10.8,7.2,26,39,1840,212
2006,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,10.6,7,27,40,1800,207
2006,AUDI,A4 QUATTRO,COMPACT,3.1,6,AS6,Z,12.3,8.1,23,35,2080,239
2006,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.1,6,AS6,Z,12.9,8.2,22,34,2160,248
2006,AUDI,A6 QUATTRO,MID-SIZE,3.1,6,AS6,Z,12.3,8.1,23,35,2080,239
2006,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS6,Z,13.6,9.3,21,30,2340,269
2006,AUDI,A8,MID-SIZE,4.2,8,AS6,Z,13.4,8.9,21,32,2280,262
2006,AUDI,A8L,FULL-SIZE,4.2,8,AS6,Z,13.4,8.9,21,32,2280,262
2006,AUDI,A8L,FULL-SIZE,6,12,AS6,Z,16,10.5,18,27,2720,313
