MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2013,ACURA,ILX,COMPACT,2.0,4,AS5,Z,8.6,5.6,33,50,1440,166
2013,ACURA,ILX,COMPACT,2.4,4,M6,Z,9.8,6.5,29,43,1660,191
2013,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,5.0,4.8,56,59,980,113
2013,ACURA,MDX AWD,SUV - SMALL,3.7,6,AS6,Z,13.2,9.6,21,29,2320,267
2013,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,10.7,7.3,26,39,1840,212
2013,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,10.4,6.8,27,42,1760,202
2013,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,11.4,7.6,25,37,1940,223
2013,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,11.9,8.0,24,35,2040,235
2013,ACURA,TSX,COMPACT,2.4,4,AS5,Z,9.3,6.2,30,46,1580,182
2013,ACURA,TSX,COMPACT,2.4,4,M6,Z,9.9,6.8,29,42,1700,196
2013,ACURA,TSX,COMPACT,3.5,6,AS5,Z,10.7,7.0,26,40,1800,207
2013,ACURA,ZDX AWD,SUV - SMALL,3.7,6,AS6,Z,12.7,8.8,22,32,2180,251
2013,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,16.2,10.7,17,26,2740,315
2013,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,15.7,9.6,18,29,2580,297
2013,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,16.3,10.4,17,27,2740,315
2013,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,15.7,9.6,18,29,2580,297
2013,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,16.3,10.4,17,27,2740,315
2013,AUDI,A3,STATION WAGON - SMALL,2.0,4,AS6,Z,9.4,6.9,30,41,1660,191
2013,AUDI,A3,STATION WAGON - SMALL,2.0,4,M6,Z,10.4,6.7,27,42,1740,200
2013,AUDI,A3 QUATTRO,STATION WAGON - SMALL,2.0,4,AM6,Z,9.6,7.5,29,38,1720,198
2013,AUDI,A3 TDI CLEAN DIESEL,STATION WAGON - SMALL,2.0,4,AS6,D,6.7,4.7,42,60,1160,157
2013,AUDI,A4,COMPACT,2.0,4,AV8,Z,8.6,6.2,33,46,1500,172
2013,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,10.1,6.8,28,42,1720,198
2013,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,9.5,6.3,30,45,1620,186
2013,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,10.1,6.8,28,42,1720,198
2013,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,10.1,6.8,28,42,1720,198
2013,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,9.5,6.3,30,45,1620,186
2013,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,10.5,6.8,27,42,1780,205
2013,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,11.3,7.3,25,39,1900,218
2013,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,11.3,7.4,25,38,1900,218
2013,AUDI,A8,MID-SIZE,3.0,6,AS8,Z,12.0,7.2,24,39,1960,225
