MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2002,ACURA,1.7EL,COMPACT,1.7,4,A4,X,8.2,6.1,34,46,1460,168
2002,ACURA,1.7EL,COMPACT,1.7,4,M5,X,7.6,6.0,37,47,1380,159
2002,ACURA,3.2CL,COMPACT,3.2,6,AS5,Z,12.1,7.4,23,38,2000,230
2002,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,12.0,7.4,24,38,1980,228
2002,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,13.4,9.1,21,31,2300,264
2002,ACURA,MDX,SUV,3.5,6,A5,Z,13.9,9.4,20,30,2380,274
2002,ACURA,NSX,TWO-SEATER,3.0,6,AS4,Z,13.7,9.2,21,31,2340,269
2002,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,14.0,9.1,20,31,2360,271
2002,ACURA,RSX,SUBCOMPACT,2.0,4,AS5,X,9.7,6.6,29,43,1660,191
2002,ACURA,RSX,SUBCOMPACT,2.0,4,M5,X,8.8,6.6,32,43,1560,179
2002,ACURA,RSX,SUBCOMPACT,2.0,4,M6,Z,9.7,6.9,29,41,1680,193
2002,AUDI,A4,COMPACT,1.8,4,AV,Z,11.4,7.5,25,38,1920,221
2002,AUDI,A4,COMPACT,1.8,4,M5,Z,10.6,6.9,27,41,1780,205
2002,AUDI,A4 QUATTRO,COMPACT,1.8,4,AS5,Z,12.2,7.7,23,37,2040,235
2002,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,11.3,7.5,25,38,1920,221
2002,AUDI,A4 QUATTRO,COMPACT,3.0,6,AS5,Z,13.5,8.4,21,34,2240,258
2002,AUDI,A4 QUATTRO,COMPACT,3.0,6,M6,Z,13.4,8.6,21,33,2240,258
2002,AUDI,A6,MID-SIZE,3.0,6,AV,Z,12.6,8.5,22,33,2160,248
2002,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.0,6,AS5,Z,13.5,8.4,21,34,2240,258
2002,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,AS5,Z,13.8,8.9,20,32,2320,267
2002,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,13.7,8.9,21,32,2300,264
2002,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS5,Z,13.5,8.4,21,34,2240,258
2002,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS5,Z,13.8,8.7,20,32,2300,264
2002,AUDI,A8 QUATTRO,MID-SIZE,4.2,8,AS5,Z,13.8,8.7,20,32,2300,264
2002,AUDI,A8L QUATTRO,FULL-SIZE,4.2,8,AS5,Z,13.8,8.7,20,32,2300,264
2002,AUDI,ALLROAD QUATTRO,SUV,2.7,6,AS5,Z,15.3,10.5,18,27,2620,301
2002,AUDI,ALLROAD QUATTRO,SUV,2.7,6,M6,Z,14.8,10.4,19,27,2560,294
2002,AUDI,S4 QUATTRO,COMPACT,2.7,6,AS5,Z,13.7,9.1,21,31,2320,267
2002,AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,13.6,9.2,21,31,2320,267
2002,AUDI,S6 AVANT QUATTRO,STATION WAGON - MID-SIZE,4.2,8,AS5,Z,17.2,10.5,16,27,2840,327
2002,AUDI,S8 QUATTRO,MID-SIZE,4.2,8,AS5,Z,16.0,10.1,18,28,2660,306
2002,AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M5,Z,11.5,7.4,25,38,1940,223
2002,AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M6,Z,11.7,7.7,24,37,1980,228
2002,AUDI,TT ROADSTER,TWO-SEATER,1.8,4,M5,Z,10.5,7.0,27,40,1780,205
2002,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,1.8,4,M6,Z,11.7,7.7,24,37,1980,228
2002,BENTLEY,ARNAGE LWB TURBO,FULL-SIZE,6.7,8,A4,Z,21.1,13.8,13,20,3560,409
2002,BENTLEY,ARNAGE TURBO,MID-SIZE,6.7,8,A4,Z,21.1,13.8,13,20,3560,409
2002,BENTLEY,AZURE TURBO,SUBCOMPACT,6.7,8,A4,Z,20.7,13.6,14,21,3500,402
2002,BENTLEY,CONTINENTAL R TURBO,SUBCOMPACT,6.7,8,A4,Z,21.1,13.8,13,20,3560,409
2002,BENTLEY,CONTINENTAL SC TURBO,SUBCOMPACT,6.7,8,A4,Z,21.1,13.8,13,20,3560,409
2002,BENTLEY,CONTINENTAL T TURBO,SUBCOMPACT,6.7,8,A4,Z,21.1,13.8,13,20,3560,409
2002,BMW,320i,COMPACT,2.2,6,A5,Z,11.6,7.4,24,38,1940,223
2002,BMW,320i,COMPACT,2.2,6,M5,Z,11.3,7.2,25,39,1900,218
2002,BMW,325Ci,SUBCOMPACT,2.5,6,A5,Z,11.8,7.9,24,36,2000,230
2002,BMW,325Ci,SUBCOMPACT,2.5,6,M5,Z,11.6,7.4,24,38,1940,223
2002,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,A5,Z,12.2,8.3,23,34,2080,239
2002,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,M5,Z,12.6,8.2,22,34,2120,244
2002,BMW,325i,COMPACT,2.5,6,A5,Z,11.8,7.9,24,36,2000,230
2002,BMW,325i,COMPACT,2.5,6,M5,Z,11.6,7.4,24,38,1940,223
2002,BMW,325i TOURING,STATION WAGON - SMALL,2.5,6,A5,Z,11.8,7.9,24,36,2000,230
2002,BMW,325i TOURING,STATION WAGON - SMALL,2.5,6,M5,Z,11.6,7.4,24,38,1940,223
2002,BMW,325xi,COMPACT,2.5,6,A5,Z,12.1,8.4,23,34,2080,239
2002,BMW,325xi,COMPACT,2.5,6,M5,Z,12.1,8.0,23,35,2060,237
2002,BMW,325xi TOURING,STATION WAGON - SMALL,2.5,6,A5,Z,12.1,8.4,23,34,2080,239
2002,BMW,325xi TOURING,STATION WAGON - SMALL,2.5,6,M5,Z,12.1,8.0,23,35,2060,237
2002,BMW,330Ci,SUBCOMPACT,3.0,6,A5,Z,11.6,7.7,24,37,1960,225
2002,BMW,330Ci,SUBCOMPACT,3.0,6,M5,Z,11.3,7.3,25,39,1900,218
2002,BMW,330Ci CONVERTIBLE,MINICOMPACT,3.0,6,A5,Z,12.6,8.2,22,34,2120,244
2002,BMW,330Ci CONVERTIBLE,MINICOMPACT,3.0,6,M5,Z,11.9,7.8,24,36,2020,232
2002,BMW,330i,COMPACT,3.0,6,A5,Z,11.6,7.7,24,37,1960,225
2002,BMW,330i,COMPACT,3.0,6,M5,Z,11.3,7.3,25,39,1900,218
2002,BMW,330xi,COMPACT,3.0,6,A5,Z,13.0,8.6,22,33,2200,253
2002,BMW,330xi,COMPACT,3.0,6,M5,Z,11.9,7.9,24,36,2020,232
2002,BMW,525i,COMPACT,2.5,6,A5,Z,11.8,7.9,24,36,2000,230
2002,BMW,525i,COMPACT,2.5,6,M5,Z,11.6,7.4,24,38,1940,223
2002,BMW,525i TOURING,STATION WAGON - SMALL,2.5,6,A5,Z,12.2,8.3,23,34,2080,239
2002,BMW,525i TOURING,STATION WAGON - SMALL,2.5,6,M5,Z,12.6,8.2,22,34,2120,244
2002,BMW,530i,COMPACT,3.0,6,A5,Z,12.6,8.2,22,34,2120,244
2002,BMW,530i,COMPACT,3.0,6,M5,Z,11.3,7.3,25,39,1900,218
2002,BMW,540i,COMPACT,4.4,8,A5,Z,13.1,8.8,22,32,2240,258
2002,BMW,540i,COMPACT,4.4,8,M6,Z,14.7,9.1,19,31,2440,281
2002,BMW,540i TOURING,STATION WAGON - SMALL,4.4,8,A5,Z,13.9,10.1,20,28,2440,281
2002,BMW,M COUPE,TWO-SEATER,3.2,6,M5,Z,13.6,8.8,21,32,2280,262
2002,BMW,M ROADSTER,TWO-SEATER,3.2,6,M5,Z,13.6,8.8,21,32,2280,262
2002,BMW,M3,SUBCOMPACT,3.2,6,M6,Z,14.5,9.0,19,31,2400,276
2002,BMW,M3 CONVERTIBLE,MINICOMPACT,3.2,6,M6,Z,14.9,9.4,19,30,2480,285
2002,BMW,M5,COMPACT,4.9,8,M6,Z,17.6,10.6,16,27,2880,331
2002,BMW,X5,SUV,3.0,6,A5,Z,14.7,10.8,19,26,2580,297
2002,BMW,X5,SUV,3.0,6,M5,Z,15.6,10.6,18,27,2680,308
2002,BMW,X5,SUV,4.4,8,A5,Z,16.4,11.9,17,24,2880,331
2002,BMW,X5IS 4.6,SUV,4.4,8,A5,Z,17.9,12.4,16,23,3080,354
2002,BMW,Z3,TWO-SEATER,2.5,6,A5,Z,11.8,8.1,24,35,2020,232
2002,BMW,Z3,TWO-SEATER,2.5,6,M5,Z,11.8,7.9,24,36,2000,230
2002,BMW,Z3,TWO-SEATER,3.0,6,A5,Z,12.0,8.3,24,34,2060,237
2002,BMW,Z3,TWO-SEATER,3.0,6,M5,Z,11.2,7.6,25,37,1920,221
2002,BMW,Z8,TWO-SEATER,4.9,8,M6,Z,17.6,10.6,16,27,2880,331
2002,BUICK,CENTURY,MID-SIZE,3.1,6,A4,X,11.7,7.6,24,37,1980,228
2002,BUICK,LESABRE,FULL-SIZE,3.8,6,A4,X,12.0,7.4,24,38,1980,228
2002,BUICK,PARK AVENUE,FULL-SIZE,3.8,6,A4,X,12.0,7.4,24,38,1980,228
2002,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,13.1,8.0,22,35,2160,248
2002,BUICK,REGAL,MID-SIZE,3.8,6,A4,X,12.6,7.9,22,36,2100,242
2002,BUICK,REGAL #,MID-SIZE,3.8,6,A4,Z,13.1,8.0,22,35,2160,248
2002,BUICK,RENDEZVOUS,SUV,3.4,6,A4,X,12.3,8.3,23,34,2100,242
2002,BUICK,RENDEZVOUS AWD,SUV,3.4,6,A4,X,12.7,8.7,22,32,2180,251
2002,CADILLAC,DEVILLE,FULL-SIZE,4.6,8,A4,X,13.4,8.0,21,35,2200,253
2002,CADILLAC,ELDORADO,MID-SIZE,4.6,8,A4,X,13.4,8.0,21,35,2200,253
2002,CADILLAC,ESCALADE AWD,SUV,6.0,8,A4,X,20.4,14.5,14,19,3540,407
2002,CADILLAC,ESCALADE EXT AWD,PICKUP TRUCK - STANDARD,6.0,8,A4,X,20.4,14.5,14,19,3540,407
2002,CADILLAC,SEVILLE,MID-SIZE,4.6,8,A4,X,13.4,8.0,21,35,2200,253
2002,CHEVROLET,ASTRO CARGO,VAN - CARGO,4.3,6,A4,X,14.6,10.3,19,27,2540,292
2002,CHEVROLET,ASTRO CARGO AWD,VAN - CARGO,4.3,6,A4,X,15.6,10.9,18,26,2700,310
2002,CHEVROLET,ASTRO PASSENGER,VAN - PASSENGER,4.3,6,A4,X,15.3,10.9,18,26,2660,306
2002,CHEVROLET,ASTRO PASSENGER AWD,VAN - PASSENGER,4.3,6,A4,X,16.3,10.7,17,26,2760,317
2002,CHEVROLET,BLAZER 4X4,SUV,4.3,6,A4,X,15.6,10.9,18,26,2700,310
2002,CHEVROLET,BLAZER 4X4,SUV,4.3,6,M5,X,17.8,12.8,16,22,3120,359
2002,CHEVROLET,C1500 AVALANCHE,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.8,11.8,17,24,2920,336
2002,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A4,X,15.3,10.9,18,26,2660,306
2002,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,M5,X,14.9,10.1,19,28,2540,292
2002,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,X,15.8,11.6,18,24,2780,320
2002,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,M5,X,17.0,11.3,17,25,2880,331
2002,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.1,11.6,18,24,2820,324
2002,CHEVROLET,C1500 SUBURBAN FFV,SUV,5.3,8,A4,X,16.8,11.9,17,24,2920,336
2002,CHEVROLET,C1500 SUBURBAN FFV,SUV,5.3,8,A4,E,24.2,16.4,12,17,4140,331
2002,CHEVROLET,C1500 TAHOE,SUV,4.8,8,A4,X,16.0,11.2,18,25,2760,317
2002,CHEVROLET,C1500 TAHOE FFV,SUV,5.3,8,A4,X,16.8,11.8,17,24,2920,336
2002,CHEVROLET,C1500 TAHOE FFV,SUV,5.3,8,A4,E,23.1,15.9,12,18,3980,318
2002,CHEVROLET,C2500 SILVERADO BI-FUEL,PICKUP TRUCK - STANDARD,6.0,8,A4,X,20.3,14.9,14,19,3580,412
2002,CHEVROLET,C2500 SILVERADO BI-FUEL,PICKUP TRUCK - STANDARD,6.0,8,A4,N,20.1,16.6,14,17,3700,350
2002,CHEVROLET,C2500 SILVERADO CNG,PICKUP TRUCK - STANDARD,6.0,8,A4,N,20.2,15.7,14,18,3640,344
2002,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,A4,X,12.2,7.0,23,40,1980,228
2002,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,M5,X,12.3,6.9,23,41,1980,228
2002,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,A4,Z,13.1,8.8,22,32,2240,258
2002,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,M6,Z,12.5,8.0,23,35,2100,242
2002,CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,A4,X,10.1,6.8,28,42,1720,198
2002,CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,M5,X,10.9,6.9,26,41,1820,209
2002,CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,A4,X,11.3,7.7,25,37,1940,223
2002,CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,M5,X,11.6,7.1,24,40,1920,221
2002,CHEVROLET,CAVALIER BI-FUEL,SUBCOMPACT,2.2,4,A4,X,10.3,7.2,27,39,1780,205
2002,CHEVROLET,CAVALIER BI-FUEL,SUBCOMPACT,2.2,4,A4,N,12.3,7.7,23,37,2040,193
2002,CHEVROLET,CORVETTE,TWO-SEATER,5.7,8,A4,Z,13.1,8.8,22,32,2240,258
2002,CHEVROLET,CORVETTE,TWO-SEATER,5.7,8,M6,Z,12.4,7.9,23,36,2080,239
2002,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,4.3,6,A4,X,15.9,11.9,18,24,2820,324
2002,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.0,8,A4,X,16.0,11.5,18,25,2800,322
2002,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.7,8,A4,X,17.4,12.7,16,22,3060,352
2002,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,4.3,6,A4,X,16.5,12.2,17,23,2920,336
